service_name,kit_name,description,key_features,sample_project
文件预览,Preview Kit,预览文件服务,支持多种文件类型预览,基于Preview Kit实现预览文件能力
数字钱包,Wallet Kit,钱包服务实现数字车钥匙功能,"开通,车控,删卡",基于钱包服务实现数字车钥匙开通及使用
PDF服务,PDF Kit,PDF文件服务进行基本PDF文件阅读及编辑,"PDF文件预览,格式转换",实现PDF文件的查看与编辑功能
运动健康,Health Kit,运动健康服务开放能力实现运动健康数据的管理,"采样数据,锻炼记录,健康记录,实时数据",实现运动健康数据管理
支付服务,Payment Kit,鸿蒙支付服务实现支付收银台,"支付,收银台",实现支付收银台功能
应用市场,AppGallery Kit,应用市场服务提升应用曝光度,"推荐,按需加载,应用归因,更新检查",基于对外开放功能实现提高应用曝光度
广告服务,Ads Kit,鲸鸿动能API实现广告加载和展示,"广告服务,流量变现",实现广告服务
账号服务,Account Kit,华为账号服务,"静默登录,头像昵称,快速验证手机号,收货地址,发票抬头,未成年人模式",基于华为账号服务实现登录授权等功能
通话服务,Call Service Kit,通话服务联合Push Kit和Image Kit,"VoipCallUiEvent,音视频来电,通话状态",社交通信-通话服务
场景融合,Scenario Fusion Kit,融合场景服务获取系统属性,"系统设置,系统信息,设备状态",基于融合场景服务实现API获取系统属性
推送服务,Push Kit,消息推送服务,消息推送通知管理数据消息,配合Call Service Kit实现来电通知
扫码服务,Scan Kit,二维码条形码扫描和生成,扫码识别码图生成,扫描商品条码
定位服务,Location Kit,定位服务,获取位置地理围栏活动识别,基于位置的功能开发
地图服务,Map Kit,地图服务,地图显示路径规划POI搜索,地图导航应用
实况窗,Live View Kit,实况窗服务,实时信息展示锁屏卡片动态更新,外卖配送进度显示
