category,name,description,tags,date
HarmonyOS特征,基于应用接续实现分布式视频播放器功能,基于ArkTS扩展的声明式开发范式编程语言编写的一个分布式视频播放器，主要包括一个直播视频播放界面，实现视频播放时可以从一台设备迁移到另一台设备继续运行。,应用接续,2026-01-06
HarmonyOS特征,基于应用接续及跨设备互通功能实现内容发布功能,本示例基于应用接续、分布式数据对象、分布式文件系统和跨设备互通等功能实现文本和图片数据的跨设备交互与接续。,"应用接续,分布式数据对象,自由流转",2026-01-06
HarmonyOS特征,一次开发多端部署-分栏控件,本示例通过使用SideBarContainer组件与Navigation组件实现了多场景下一多分栏控件的响应式变化效果。,"一次开发多端部署,Navigation",2026-01-06
HarmonyOS特征,基于Share Kit实现隔空传送分享文件和链接,本示例基于Share Kit实现快速跨设备分享文件，结合App Linking实现了快速跨设备分享链接并直接进入应用内视频播放页面的功能。,"隔空传送,分享,gesturesShare,harmonyShare",2026-01-06
HarmonyOS特征,基于Share Kit实现碰一碰文件分享,本示例基于Share Kit实现了跨设备文件的快速分享功能，通过碰一碰完成文件分享流程。,"碰一碰,文件分享,Share Kit,dataReceive,harmonyShare",2026-01-06
HarmonyOS特征,实现文档扫描控件,本示例通过Vision Kit（场景化视觉服务）提供拍摄文档并转换为高清扫描件的服务。,"文档扫描,高清扫描",2026-01-06
HarmonyOS特征,实现卡证识别控件,本示例展示了Vision Kit（场景化视觉服务）多证件的结构化识别服务。,"身份证,行驶证,驾驶证,护照,银行卡,卡证识别",2026-01-06
HarmonyOS特征,实现AI字幕,本示例基于Speech Kit（场景化语音服务）提供将音频文件识别为文字的服务。,"AI,ASR,场景化语音服务",2026-01-06
HarmonyOS特征,实现表格提取功能,本示例展示了Vision Kit如何集成文档扫描控件实现从图像中识别并提取表格的功能。,"表格提取,Vision Kit",2026-01-06
HarmonyOS特征,实现折叠屏悬停态,本示例基于折叠屏提供的手持操作体验悬停态，实现视频通话、视频播放等场景，提供FolderStack组件、FoldSplitContainer组件以及自定义组件三种实现方式。,"悬停态,折叠屏",2026-01-06
媒体开发,基于FAST Kit实现矩形区域划分,本示例基于FAST Kit算法加速套件利用矩形划分求解器接口实现矩形区域划分功能展示FAST Kit在网格数据处理和空间几何计算等潜在场景中的算法加速能力。,FAST Kit,2026-01-16
媒体开发,实现音频动效,本示例基于AudioRenderer的播放能力和AudioCapturer的录制能力分别实现了音频录制的动效和音频播放的动效。,"音频,动效",2026-01-16
媒体开发,基于媒体子系统实现媒体直播连麦功能,本示例基于媒体子系统实现媒体直播的开直播端、看播端和直播连麦模块，实现了音视频采集、音视频播放、音频焦点管理、ROI、背景音乐添加、前后摄像头翻转等功能。,"直播,连麦",2026-01-16
媒体开发,音频类能力检测功能,本示例主要提供检测音频类应用能力的功能，用于检测音频类应用在不同音频场景下的功能完备度和准确性。,音频检测,2026-01-16
媒体开发,音频播放交互场景,本示例主要面向前台音频开发人员，指导开发者基于AudioRenderer开发音频播控功能包括后台播放、和播控中心的交互、适配不同类型的焦点打断策略、切换路由发声设备等。,音频播控,2026-01-16
媒体开发,实现短视频流畅点播,本场景主要聚焦短视频流畅点播切换场景提供了短视频上下滑动、快速起播、动态添加数据源、自定义跟随视频滑动的组件等能力。,"视频点播,视频滑动",2026-01-16
应用框架开发,基于DialogHub的通用弹窗,本示例演示了如何利用DialogHub弹窗框架实现多样化的弹窗需求，涵盖了常见弹窗类型展示、弹窗与页面及用户的交互模式、弹窗组件的复用技巧。,弹窗,2026-01-16
应用框架开发,基于colorFilter实现图片滤镜效果,本示例是一个基于Image和Swiper组件开发的图片滤镜示例应用，演示了如何使用ColorFilter对图片进行色彩处理，还实现了一个具有平滑缩放动画的图片轮播功能。,"colorFilter,图片滤镜",2026-01-16
应用框架开发,基于resizable实现图片拉伸效果,本示例基于Image组件的resizable属性通过设置slice和lattice实现了聊天消息气泡和可拉伸占位图。,"图片拉伸,resizable",2026-01-07
应用框架开发,基于TurboTransJSON实现高性能JSON解析,本示例展示了使用TurboTrans实现高性能JSON解析操作覆盖场景包括结合Sendable跨线程数据传递场景、网络数据交互场景、JSON大文件解析、JsonNode懒加载。,"JSON,序列化,反序列化",2026-01-06
应用框架开发,基于备份恢复框架的数据迁移,本示例通过备份恢复框架实现终端设备从HarmonyOS 4.0升级到HarmonyOS NEXT后应用如何将关系型数据库、文件、XML数据迁移到HarmonyOS NEXT上并恢复。,"应用数据备份恢复,应用数据迁移",2026-01-06
应用框架开发,基于Text组件及通用属性实现文字特效,本示例基于Text组件及通用属性实现多种文字特效帮助开发者在ArkTS原生页面开发中实现文字渐变、歌词滚动、文字倒影、跑马灯渐变等多种文字效果。,Text,2026-01-06
应用框架开发,基于系统路由表实现页面跳转,本项目提供系统路由的验证运用系统路由表的方式跳转到模块(HSP/HAR)的页面可以不用配置不同跳转模块间的依赖。,系统路由表,2026-01-06
应用框架开发,基于List组件实现待办事项列表编辑效果,本示例基于List组件实现待办事项管理、文件管理、备忘录的等场景列表编辑效果。,List,2026-01-06
应用框架开发,基于路由模块和动态加载实现应用页面路由导航功能,通过设计单独的路由模块和动态加载方法将路由功能抽取为单独的模块供其他模块使用实现业务模块间的解耦。,Navigation,2026-01-06
应用框架开发,基于Web组件实现设置和获取用户代理的功能,本示例基于ArkTS和Web组件实现了User Agent的设置和获取功能帮助开发者掌握获取默认用户代理信息、设置、获取自定义用户代理等功能的开发实现方案。,"Web,UserAgent",2026-01-06
网络传输,基于SFFT的大文件高速并发传输,本示例是一个基于SFFT库实现的大文件高速并发上传下载示例应用，应用中示范了SFFT的基础功能使用方式包括普通上传下载、分块上传下载、支持用户自定义配置上传下载链接。,"sfft,网络,上传下载,并发",2026-01-16
